,Link PDF Extraído,Título,Autores,Data Publicação,Publicação Mãe,Link
40,,,,,Carta de Conjuntura - 2019 - 1º Trimestre - nº 42,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34746
41,,,,,Carta de Conjuntura - 2019 - 1º Trimestre - nº 42,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34746
42,,,,,Carta de Conjuntura - 2018 - 4º Trimestre - nº 41,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34745
43,,,,,Carta de Conjuntura - 2018 - 4º Trimestre - nº 41,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34745
44,,,,,Carta de Conjuntura - 2018 - 3º Trimestre - nº 40,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34744
45,,,,,Carta de Conjuntura - 2018 - 3º Trimestre - nº 40,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34744
46,,,,,Carta de Conjuntura - 2018 - 2º Trimestre - nº 39,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=32921
47,,,,,Carta de Conjuntura - 2018 - 2º Trimestre - nº 39,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=32921
48,,,,,Carta de Conjuntura - 2018 - 1º Trimestre - nº 38,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=32302
49,,,,,Carta de Conjuntura - 2018 - 1º Trimestre - nº 38,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=32302
50,,,,,Carta de Conjuntura - 2017 - 4º Trimestre - nº 37,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=31527
51,,,,,Carta de Conjuntura - 2017 - 4º Trimestre - nº 37,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=31527
52,,,,,Carta de Conjuntura - 2017 - 3º Trimestre - nº 36,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=30867
53,,,,,Carta de Conjuntura - 2017 - 3º Trimestre - nº 36,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=30867
54,,,,,Carta de Conjuntura - 2017 - 2º Trimestre - nº 35,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=30212
55,,,,,Carta de Conjuntura - 2017 - 2º Trimestre - nº 35,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=30212
56,,,,,Carta de Conjuntura - 2017 - 1º Trimestre - nº 34,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29554
57,,,,,Carta de Conjuntura - 2017 - 1º Trimestre - nº 34,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29554
58,,,,,Carta de Conjuntura - 2017 - 1º Trimestre - nº 34,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29554
59,,,,,Carta de Conjuntura - 2016 - 4º Trimestre - nº 33,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29091
60,,,,,Carta de Conjuntura - 2016 - 4º Trimestre - nº 33,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29091
61,,,,,Carta de Conjuntura - 2016 - 4º Trimestre - nº 33,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29091
62,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/160922_cc32_atividade_economica.pdf,ATIVIDADE ECONÔMICA,,,Carta de Conjuntura - 2016 - Julho - Setembro - nº 32,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28349
63,,,,,Carta de Conjuntura - 2016 - Julho - Setembro - nº 32,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28349
64,,,,,Carta de Conjuntura - 2016 - Julho - Setembro - nº 32,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28349
65,,,,,Carta de Conjuntura - 2016 - Junho- nº 31,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=27921
66,,,,,Carta de Conjuntura - 2016 - Junho- nº 31,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=27921
67,,,,,Carta de Conjuntura - 2016 - Junho- nº 31,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=27921
68,,,,,Carta de Conjuntura - 2016 - Abril - nº 30,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=27546
69,,,,,Carta de Conjuntura - 2016 - Abril - nº 30,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=27546
70,,,,,Carta de Conjuntura - 2016 - Abril - nº 30,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=27546
71,,,,,Carta de Conjuntura - 2015 - Dezembro - nº 29,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=26918
72,,,,,Carta de Conjuntura - 2015 - Dezembro - nº 29,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=26918
73,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/151120_cc28_sintese.pdf,SÍNTESE DA CARTA DE CONJUNTURA,", , , ",,Carta de Conjuntura - 2015 - Setembro - nº 28,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=26196
74,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/151120_cc28_capital_fixo.pdf,ESTIMATIVAS DO ESTOQUE DE CAPITAL FIXO DA ADMINISTRAÇÃO PÚBLICA 2000-2014,,,Carta de Conjuntura - 2015 - Setembro - nº 28,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=26196
75,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc27_sintese.pdf,SÍNTESE DA CARTA DE CONJUNTURA,,,Carta de Conjuntura - 2015 - Junho- nº 27,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=25591
76,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/150610_cc_jun2015_27_nota_tecnica_3,IMPLICAÇÕES MACROECONÔMICAS DA LEI COMPLEMENTAR 148/2014,,,Carta de Conjuntura - 2015 - Junho- nº 27,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=25591
77,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/150430_cc_abr2015_sintese_conjuntura.pdf,SÍNTESE DA CONJUTURA,,,Carta de Conjuntura - 2015 - Abril - nº 26,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=25172
78,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/n_26_1_atividade_economica.xls,ATIVIDADE ECONÔMICA (XLS),,,Carta de Conjuntura - 2015 - Abril - nº 26,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=25172
79,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc_dez2014_sinteseconjuntura.pdf,SÍNTESE DA CONJUTURA,Notas Técnicas,,Carta de Conjuntura - 2014 - Dezembro - nº 25,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=24253
80,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc_dez2014_nt02.pdf,IMPACTOS DO DECLÍNIO DO BÔNUS DEMOGRÁFICO SOBRE A OFERTA DE MÃO DE OBRA E O CRESCIMENTO ECONÔMICO NO PERÍODO 2014-2030,,,Carta de Conjuntura - 2014 - Dezembro - nº 25,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=24253
81,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc24_sinteseconjuntura.pdf,SÍNTESE DA CONJUTURA,", Notas Técnicas",,Carta de Conjuntura - 2014 - Outubro - nº 24,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=23717
82,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc23_sintesedaconjuntura.pdf,SÍNTESE DA CONJUTURA,Notas Técnicas,,Carta de Conjuntura - 2014 - Junho - nº 23,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22935
83,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc23_nt03.pdf,REVISÃO METODOLÓGICA DA PIM-PF E IMPACTOS SOBRE A TRAJETÓRIA DA PRODUÇÃO INDUSTRIAL,,,Carta de Conjuntura - 2014 - Junho - nº 23,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22935
84,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc22_sintesedaconjuntura.pdf,SÍNTESE DA CONJUTURA,Notas Técnicas,,Carta de Conjuntura - 2014 - Março - nº 22,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=21825
85,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc21_nt02_efeitospopulacao.pdf,EFEITOS DA POPULAÇÃO ECONOMICAMENTE ATIVA SOBRE A TAXA DE DESEMPREGO,,,Carta de Conjuntura - 2013 - Dezembro - nº 21,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20993
86,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc20_nt02_mercado.pdf,MERCADO DE CÂMBIO BRASILEIRO E INTERVENÇÕES DO BANCO CENTRAL,,,Carta de Conjuntura - 2013 - Setembro - nº 20,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=19936
87,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc19_nt01_indicedecontribuicao.pdf,ÍNDICE DE CONTRIBUIÇÃO PARA O DESVIO DA META DE INFLAÇÃO E DESAGREGAÇÃO DO IPCA POR NATUREZA DOS PRODUTOS,", , Thiago Sevilhano Martinez",,Carta de Conjuntura - 2013 - Junho - nº 19,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=18733
88,,,,,Carta de Conjuntura - 2013 - Junho - nº 19,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=18733
89,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/cc16_previsoes_gap.pdf,PREVISÕES,,,Carta de Conjuntura - 2012 - Maio - nº 16,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=14143
90,,,,,Carta de Conjuntura - 2011 - Dezembro - nº 15,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=12659
91,,,,,Carta de Conjuntura - 2011 - Dezembro - nº 15,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=12659
92,,,,,Carta de Conjuntura - 2011 - Junho - nº 13,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=9370
93,,,,,Carta de Conjuntura - 2011 - Março - nº 12,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=8003
94,,,,,Carta de Conjuntura - 2011 - Março - nº 12,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=8003
95,,,,,Carta de Conjuntura - 2010 - Setembro - nº 11,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=5657
96,,,,,Carta de Conjuntura - 2010 - Setembro - nº 11,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=5657
97,,,,,Carta de Conjuntura - 2010 - Junho - nº 10,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=2614
98,,,,,Carta de Conjuntura - 2010 - Junho - nº 10,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=2614
99,,,,,Carta de Conjuntura - 2010 - Março - nº 09,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=2483
100,,,,,Carta de Conjuntura - 2010 - Março - nº 09,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=2483
101,,,,,Carta de Conjuntura - 2009 - Setembro - nº 08,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=581
102,,,,,Carta de Conjuntura - 2009 - Setembro - nº 08,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=581
103,,,,,Carta de Conjuntura - 2009 - Setembro - nº 08,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=581
104,,,,,Carta de Conjuntura - 2009 - Junho - nº 07,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=638
105,,,,,Carta de Conjuntura - 2009 - Junho - nº 07,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=638
106,,,,,Carta de Conjuntura - 2009 - Março - nº 06,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=637
107,,,,,Carta de Conjuntura - 2009 - Março - nº 06,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=637
108,,,,,Carta de Conjuntura - 2008 - Dezembro - nº 05,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=636
109,,,,,Carta de Conjuntura - 2008 - Dezembro - nº 05,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=636
110,,,,,Carta de Conjuntura - 2008 - Setembro - nº 04,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=635
111,,,,,Carta de Conjuntura - 2008 - Setembro - nº 04,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=635
112,,,,,Carta de Conjuntura - 2008 - Junho - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=634
113,,,,,Carta de Conjuntura - 2008 - Junho - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=634
114,,,,,Carta de Conjuntura - 2007 - Dezembro - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=632
115,,,,,Carta de Conjuntura - 2007 - Dezembro - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=632
