titulo,tipo,data_publicacao,fonte,link
"Technical Note - 2022 - June - Number 01 - Dirur - Agriculture and Livestock, Energy and the Forest-Sparing Effect: an International Comparison",Notas Técnicas,09/06/2022,Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39328
"Nota Técnica - 2022 - Junho - Número 30 - Dirur - Agricultura e Pecuária, Energia e o Efeito Poupa-Florestas: Um Comparativo Internacional",Notas Técnicas,09/06/2022,Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39327
Notas da Presidência - 2022 - Junho - Número 05 - Consolidação Fiscal e Crescimento Econômico: Uma Reflexão sobre o Brasil Pós-2020,Notas da Presidência,08/06/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39324
TD 2771 - Metodologias de Avaliação e Análise de Impacto: Abordagens e Aplicações no Âmbito da Regulação Urbana,TDs (todos os anos),07/06/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39323
Nota Técnica - 2022 - Junho - Número 04 - Dides - A conta de estabilização de peços de combustíveis e a disponibilidade de recursos à sua estruturação: O projeto de Lei nº 1.472/2021 em discussão,Notas Técnicas,06/06/2022,Dides,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39320
Nota Técnica - 2022 - Junho - Número 29 - Dirur - Indicadores de produtividade e sustentabilidade do setor agropecuário brasileiro,Notas Técnicas,06/06/2022,Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39319
Nota Técnica - 2022 - Junho - Número 05 - Dides - Remuneração dos depósitos voluntários e seus efeitos sobre a dívida pública: quando o conceito faz (toda) diferença,Notas Técnicas,06/06/2022,Dides,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39318
Notas da Presidência - 2022 - Junho - Número 04 - Acessão do Brasil à OCDE: Impactos Econômicos Esperados,Notas da Presidência,03/06/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39313
TD 2764 - Produtividade total dos fatores na agricultura - Brasil e Países Selecionados,TDs (todos os anos),02/06/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39308
Publicação Preliminar - 2022 - Maio - Presença de militares em cargos e funções comissionados do Executivo Federal,Publicação Preliminar,31/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39298
Publicação Preliminar - 2022 - Maio - Risco Regulatório e Estimativa do Impacto Financeiro Potencial do PDL 94/2022 nos Investimentos em Infraestrutura,Publicação Preliminar,31/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39301
Notas da Presidência - 2022 - Maio - Número 03 - Modernização do Setor Elétrico: Redução da Tarifa de Energia e seus Rebatimentos Sobre o Crescimento Econômico Regional,Notas da Presidência,30/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39293
TD 2768 - Minerais estratégicos e críticos: Uma visão internacional e da política mineral brasileira,TDs (todos os anos),26/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39283
Notas da Presidência - 2022 - Maio - Número 02 - Redução das Tarifas de Importação e seus Efeitos Sobre o Bem-Estar Econômico,Notas da Presidência,26/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39282
Publicação Preliminar - 2022 - Maio - Governança Orçamentária no Brasil - A relação entre avaliação e orçamento e o papel do conselho de monitoramento e avaliação de políticas públicas,Publicação Preliminar,25/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39276
