,Data de Criação,Título,Autor,PDF Links,Nota Técnica,Link
0,05/08/2022 17:09,Risco Regulatório e Estimativa do Impacto Financeiro Potencial do PDL nº 94/2022 nos Investimentos em Infraestrutura,Autora: Katia Rocha,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220805_218772_nt_diset_n99_web.pdf,Nota Técnica - 2022 - Agosto - Número 99 - Diset,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39481&Itemid=8
1,05/08/2022 17:02,Despesas com Pessoal Ativo na Federação Brasileira (2002 - 2020),Autores: Gabriel Junqueira e Rodrigo Orair,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220805_218759_nt_diest_n58_web.pdf,Nota Técnica - 2022 - Agosto - Número 58 - Diest,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39480&Itemid=6
2,04/08/2022 15:12,Participação dos Insumos Importados na Produção das Empresas Industriais Brasileiras,Autor: Eduardo Augusto Guimarães,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220804_218206_nt_dinte_n53_web.pdf,Nota Técnica - 2022 - Julho - Número 53 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39476&Itemid=3
3,26/07/2022 10:19,Consórcios Públicos Interfederativos no Brasil: Descrição das Principais Fontes de Informação e Resultados Preliminares,"Autores: Constantino Cronemberger Mendes, Geová Parente Farias, Igor Ferreira do Nascimento e Ronaldo Ramos Vasconcelos",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220726_218196_nt_dirur_31_web.pdf,Nota técnica - 2022 - Julho - Número 31 - Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39454&Itemid=7
4,18/07/2022 17:55,Integraçao Pecuária-Lavoura: Avanços e Principais Desafios,Autora: Júnia Cristina P. R. da Conceição,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220718_218703_nt_dirurn_32_web.pdf,Nota técnica - 2022 - Julho - Número 32 - Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39435&Itemid=7
5,05/07/2022 16:58,Atuação das Organizações da Sociedade Civil no Sistema Prisional Brasileiro: Perfil das OSCs e Projetos Desenvolvidos,"Autores (as): Pedro Gomes Andrade, Ana Camila Ribeiro Pereira e Janine Mello",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220705_218542_nt_diest_57_web.pdf,Nota Técnica - 2022 - Julho - Número 57 - Dieste,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39409
6,04/07/2022 16:43,Facilitação de Comércio e Tecnologias Digitais: Análise para os Países do BRICS,Autoras: Michelle Márcia Viana Martins e Scarlett Queen Almeida Bispo,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220704_218608_nt_dinte_56_web.pdf,Nota Técnica - 2022 - Julho - Número 56 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39406
7,04/07/2022 13:41,O sistema tributário dos países da OCDE e as principais recomendações da entidade: Fornecendo parâmetros para a reforma tributária no Brasil,Autor: Pedro Humberto Bruno de Carvalho Junior,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/218208_nt_dinte_54_web_novo.pdf,Nota Técnica - 2022 - Junho - Número 54 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39403
8,29/06/2022 08:58,Acessão do Brasil à OCDE: Efeitos Sobre Indicadores Econômicos e o Caminho à Frente,"Autores: Paulo de Andrade Jacinto, Fernando Ribeiro e André Pineli",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220629_nt_dinte_n_55.pdf,Nota Técnica - 2022 - Junho - Número 55 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39388
9,27/06/2022 08:28,Metodologia para a Seleção dos Municípios Participantes do Programa Nacional de Enfrentamento de Homicídios e Roubos,"Autores: Danilo Santa Cruz Coelho, Alexandre dos Santos Cunha, Henrique Alves e Erivelton Pires Guedes",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220627_nt_diest_n55.pdf,Nota Técnica - 2021 - Setembro - Número 55- Diest,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39379
10,21/06/2022 20:06,O setor de petróleo no Brasil e os impactos do Projeto de Lei n° 3.178/2019 no pré-sal,Autores: José Mauro de Morais e João Maria de Oliveira,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220622_nt_diset_n98_o_setor_de_petroleo.pdf,Nota Técnica - 2022 - Junho - Número 98 - Diset,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39364
