Título,Link,Tipo,Data da Publicação,PDF Links
"Publicação Preliminar - 2022 - Julho - O Licenciamento como Instrumento de Regulação Ambiental: Desafios, Propostas e Perspectivas",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39424,Publicações - Publicação Preliminar/2022,13/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/pubpreliminar/220713_publicacao_preliminar_licenciamento_instrumento.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2782 - Um Modelo Para Projeção de Arrecadação Tributária dos Entes Subnacionais,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39419,Publicações - TDs (todos os anos)/2022,11/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2782_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2782.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2780 - Avaliação de Efeitos da Cooperação Sul-Sul Para o Desenvolvimento do Brasil: Um Modelo Geral Para Projetos Bilaterais Com Países Africanos de Língua Portuguesa,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39415,Publicações - TDs (todos os anos)/2022,07/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2780_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2780.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"Notas da Presidência - 2022 - Julho - Número 11 - Liberdade econômica, choque de produtividade e a redução do custo do trabalho como fatores determinantes para a igualdade salarial de mulheres e homens",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39414,Publicações - Notas da Presidência/2022,07/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/notas_presidencia/220707_notas_presidencia_gabin_n_11.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2770 - Avaliação de Políticas de Redução Tarifária dos Sistemas de Transporte Público Coletivo no Brasil: Evidências Empíricas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39411,Publicações - TDs (todos os anos)/2022,05/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/220705_218214_td_2770_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/220705_218214_td_2770_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Julho - Número 57 - Diest - Atuação das Organizações da Sociedade Civil no Sistema Prisional Brasileiro: Perfil das OSCs e Projetos Desenvolvidos,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39409,Publicações - Notas Técnicas/Diest,05/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220705_218542_nt_diest_57_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Policy Brief - Em Questão - Evidências para políticas públicas - Concurso Público Nacional Unificado da Magistratura do Trabalho: Breves Características de um Processo Seletivo Inédito,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39413,Boletim - Em Questão/2022,04/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220706_pb15_concurso_versaodivulgacao.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Julho- Número 56 - Dinte - Facilitação de Comércio e Tecnologias Digitais: Análise para os Países do BRICS,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39406,Publicações - Notas Técnicas/Dinte,04/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220704_218608_nt_dinte_56_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Junho - Número 54 - Dinte - O sistema tributário dos países da OCDE e as principais recomendações da entidade: Fornecendo parâmetros para a reforma tributária no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39403,Publicações - Notas Técnicas/Dinte,04/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/218208_nt_dinte_54_web_novo.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2779 - Tributação e Inovação: Uma Revisão da Literatura,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39405,Publicações - TDs (todos os anos)/2022,04/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2779_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2779subs.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
