,Data de Criação,Título do Livro,Categoria,Organizadores,Link do PDF
48,20/11/2019 17:18,,Avaliação de políticas públicas no Brasil: uma análise do semiárido,,/portal/images/stories/PDFs/livros/livros/191120_avaliacao_de_politicas_publicas.pdf
49,14/11/2019 16:08,,"ODS 16: Promover Sociedades Pacíficas e Inclusivas para o Desenvolvimento Sustentável, Proporcionar o Acesso à Justiça para todos e Construir Instituições Eficazes, Responsáveis e Inclusivas em Todos os Níveis","EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/191114_cadernos_ODS_objetivo_16.pdf
50,15/10/2019 15:02,,"Uma Análise da Base de Dados do Sistema de Informação Hospitalar entre 2001 e 2018: dicionário dinâmico, disponibilidade dos dados e aspectos metodológicos para a produção de indicadores sobre violência","Autores: Daniel R. C. Cerqueira, Paloma P. Alves, Danilo S. C. Coelho, Milena V. M. Reis e Adriana S. Lima / Rio de Janeiro, 2019",/portal/images/stories/PDFs/livros/livros/191015_Uma_analise_da_base_de_dados_do_sistema_de_informacao.pdf
51,14/10/2019 09:00,,ODS 13: Tomar Medidas Urgentes para Combater a Mudança do Clima e seus Impactos,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/191014_cadernos_ODS_objetivo_13.pdf
52,11/10/2019 15:25,,Patrimônios de Práticas na Cultura Brasileira,"Frederico Augusto Barbosa da Silva, Irmina Anna Walczak, Juliana Veloso Sá e Daniela Ribas Ghezzi / Rio de Janeiro, 2019",/portal/images/stories/PDFs/livros/livros/191011_livro_patrimonios_praticas_cultura_brasileira.pdf
53,23/09/2019 18:04,"Promover o crescimento econômico sustentado, inclusivo e sustentável, emprego pleno e produtivo, e trabalho decente para todas e todos",ODS 8,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/190920_cadernos_ODS_objetivo_8.pdf
54,06/09/2019 09:00,Alcançar a Igualdade de Gênero e Empoderar Todas as Mulheres e Meninas,ODS 5,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/190905_cadernos_ODS_objetivo_5.pdf
55,29/08/2019 16:20,"Assegurar uma Vida Saudável e Promover o Bem-Estar para Todas e Todos, em Todas as Idades",ODS 3,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/190829_cadernos_ODS_objetivo_3.pdf
56,26/08/2019 17:00,,Desafios contemporâneos para o exército brasileiro,,/portal/images/stories/PDFs/livros/livros/180826_desafios_contemporaneos_para_o_exercito_brasileiro.pdf
57,24/07/2019 16:06,,"Revitalização da Bacia Hidrográfica do Rio São Francisco: histórico, diagnóstico e desafios",,/portal/images/stories/PDFs/livros/livros/190724_livro_revitalizacao_hidrografica.pdf
