,Data de Criação,Categoria,Organizadores,Link do PDF,Título do Livro,Link
55,29/08/2019 16:20,ODS 3,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/190829_cadernos_ODS_objetivo_3.pdf,"Assegurar uma Vida Saudável e Promover o Bem-Estar para Todas e Todos, em Todas as Idades",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35004
56,26/08/2019 17:00,Desafios contemporâneos para o exército brasileiro,,/portal/images/stories/PDFs/livros/livros/180826_desafios_contemporaneos_para_o_exercito_brasileiro.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34995
57,24/07/2019 16:06,"Revitalização da Bacia Hidrográfica do Rio São Francisco: histórico, diagnóstico e desafios",,/portal/images/stories/PDFs/livros/livros/190724_livro_revitalizacao_hidrografica.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34922
58,11/07/2019 08:51,"ODS 14: Conservação e Uso Sustentável dos Oceanos, dos Mares e dos Recursos Marinhos para o Desenvolvimento Sustentável",,/portal/images/stories/PDFs/livros/livros/190711_cadernos_ODS_objetivo_14.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34886
59,11/07/2019 08:48,ODS 4,,/portal/images/stories/PDFs/livros/livros/190711_cadernos_ODS_objetivo_4.pdf,"Assegurar a Educação Inclusiva e Equitativa e de Qualidade, e Promover Oportunidades de Aprendizagem ao Longo da Vida para Todas e Todos",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34885
60,03/07/2019 16:41,Financiamentos com pagamentos vinculados à renda futura,,/portal/images/stories/PDFs/livros/livros/190703_financiamentos_com_pagamentos_vinculados.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34867
61,26/06/2019 00:00,Um Pirilampo no Porão: um pouco de luz nos dilemas da produtividade das pequenas empresas e da informalidade no Brasil,,/portal/images/stories/PDFs/livros/livros/190626_um_pirilampo_no_porao_edicao_2.pdf,"2ª edição, revista e ampliada",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=30804
62,25/06/2019 18:33,ODS 2,,/portal/images/stories/PDFs/livros/livros/190625_cadernos_ODS_objetivo_2.pdf,Fome Zero e Agricultura Sustentável,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34853
63,12/06/2019 17:37,ODS 11,,/portal/images/stories/PDFs/livros/livros/190612_cadernos_ODS_objetivo_11.pdf,"Tornar as Cidades e os Assentamentos Humanos Inclusivos, Seguros, Resilientes e Sustentáveis",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34803
64,10/06/2019 08:10,,,/portal/images/stories/PDFs/livros/livros/190530_livro_inovacao_e_politicas_publicas.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34783
